Date, Total 
7/10/2023," $2,880.00 "
7/10/2023," $10,290.30 "
7/10/2023," $4,820.30 "
7/10/2023," $2,136.00 "
7/11/2023," $3,116.10 "
7/11/2023," $29,177.10 "
7/11/2023," $8,496.17 "
7/11/2023," $26,087.42 "
7/11/2023," $13,545.90 "
7/11/2023," $8,992.12 "
7/12/2023," $9,979.21 "
7/12/2023," $4,972.15 "
7/12/2023," $2,385.60 "
7/12/2023," $2,268.00 "
7/12/2023," $2,268.00 "
7/13/2023," $3,522.10 "
7/14/2023," $13,960.06 "
7/14/2023," $5,028.20 "
7/14/2023," $2,268.12 "
7/14/2023," $30,546.40 "
7/17/2023, $700.00 
7/17/2023," $7,800.35 "
7/17/2023," $3,551.00 "
7/17/2023," $6,012.00 "
7/17/2023," $6,840.00 "
7/17/2023," $5,076.19 "
7/17/2023," $1,008.12 "
7/17/2023," $3,312.00 "
7/17/2023," $4,194.90 "
7/17/2023," $2,901.60 "
7/17/2023," $4,556.00 "
7/17/2023," $8,010.15 "
7/17/2023," $3,503.08 "
7/18/2023," $4,871.15 "
7/18/2023," $9,282.18 "
7/18/2023," $4,725.00 "
7/18/2023," $40,107.42 "
7/19/2023," $3,781.15 "
7/20/2023," $1,566.00 "
7/20/2023, $-   
7/20/2023," $5,940.00 "
7/20/2023," $8,556.00 "
7/21/2023," $6,388.20 "
7/21/2023," $21,405.60 "
7/23/2023, $-   
7/24/2023," $4,715.00 "
7/24/2023, $0.12 
7/24/2023," $7,442.10 "
7/24/2023," $4,225.00 "
7/24/2023, $900.03 
7/24/2023," $10,916.06 "
7/24/2023," $3,583.10 "
7/24/2023," $7,080.00 "
7/24/2023," $11,130.00 "
7/24/2023," $4,126.18 "
7/26/2023," $4,499.00 "
7/26/2023," $4,499.00 "
7/26/2023," $3,041.00 "
7/26/2023," $8,873.00 "
7/26/2023," $3,041.00 "
7/26/2023," $2,940.25 "
7/26/2023," $8,748.00 "
7/26/2023," $7,844.01 "
7/26/2023," $5,012.05 "
7/26/2023," $3,690.00 "
7/26/2023," $2,663.12 "
7/27/2023, $-   
7/27/2023, $-   
7/27/2023, $-   
7/27/2023, $-   
7/27/2023, $-   
7/28/2023," $5,981.00 "
7/28/2023, $-   
7/28/2023," $6,328.13 "
7/30/2023, $525.00 
7/31/2023," $12,240.10 "
7/31/2023," $12,240.10 "
7/31/2023," $12,240.10 "
7/31/2023," $9,116.10 "
7/31/2023," $6,474.60 "
7/31/2023," $5,735.25 "
7/31/2023," $7,068.60 "
7/31/2023," $5,185.00 "
7/31/2023, $472.50 
7/31/2023," $1,260.00 "
7/31/2023," $4,290.00 "
7/31/2023," $26,714.44 "
7/31/2023, $-   
7/31/2023," $6,282.00 "
7/31/2023," $4,368.00 "
7/31/2023," $5,118.00 "
7/31/2023," $7,005.36 "
7/31/2023," $7,140.00 "
8/1/2023," $10,164.01 "
8/1/2023," $8,133.00 "
8/1/2023," $4,842.00 "
8/1/2023," $9,045.66 "
8/1/2023," $6,684.00 "
8/2/2023," $4,826.79 "
8/2/2023," $4,826.79 "
8/2/2023," $7,100.84 "
8/2/2023," $4,670.00 "
8/2/2023," $3,840.07 "
8/2/2023," $6,850.06 "
8/3/2023," $2,430.00 "
8/3/2023," $13,680.07 "
8/3/2023," $1,080.72 "
8/3/2023, $325.00 
8/4/2023," $20,400.00 "
8/4/2023," $4,704.00 "
8/4/2023," $6,330.08 "
8/4/2023," $19,512.00 "
8/4/2023," $1,647.00 "
8/5/2023," $3,218.00 "
8/7/2023," $19,512.00 "
8/7/2023," $11,682.83 "
8/8/2023," $15,001.20 "
8/8/2023," $3,264.00 "
8/8/2023," $10,634.00 "
8/8/2023," $2,660.02 "
8/8/2023," $1,800.00 "
8/8/2023," $4,732.20 "
8/8/2023," $31,428.00 "
8/8/2023," $2,016.00 "
8/8/2023," $5,055.02 "
8/8/2023," $5,584.80 "
8/9/2023," $1,812.30 "
8/9/2023, $700.00 
8/9/2023," $4,306.84 "
8/10/2023, $-   
8/10/2023," $5,778.00 "
8/10/2023," $9,715.00 "
8/10/2023," $4,850.17 "
8/11/2023," $3,229.27 "
8/11/2023," $7,840.02 "
8/11/2023," $5,418.02 "
8/11/2023," $8,937.80 "
8/11/2023, $700.00 
8/11/2023," $2,556.36 "
8/11/2023," $7,499.00 "
8/14/2023," $6,430.47 "
8/14/2023," $5,533.44 "
8/14/2023," $2,413.00 "
8/14/2023," $5,588.70 "
